,fold,Tree K50,SVM K50,Tree K100,SVM K100,Tree K300,SVM K300,Tree K1000,SVM K1000,Tree K3000,SVM K3000
games,Fold-0,0.7846889952153110,0.8148148148148150,0.7428571428571430,0.7926267281105990,0.6605603448275860,0.9030172413793100,0.7428571428571430,0.8277747402952430,0.6025974025974030,0.6754807692307690
,Fold-1,0.7934727180010200,0.9282296650717700,0.7575431034482760,0.8148148148148150,0.736842105263158,0.8803827751196170,0.736842105263158,0.9298701298701300,0.6370967741935480,0.6754807692307690
,Fold-2,0.5933014354066990,0.7201808931599780,0.6296296296296300,0.7407834101382490,0.6309458720612360,0.75,0.6296296296296300,0.7785675232367410,0.6605603448275860,0.6754807692307690
,Fold-3,0.6098929117797040,0.7090517241379310,0.7267206477732790,0.7785675232367410,0.6493506493506490,0.8109243697478990,0.6557878633350330,0.7846889952153110,0.6098929117797040,0.6213942307692310
,Fold-4,0.5968008825151680,0.6293103448275860,0.5756578947368420,0.7243589743589740,0.5756578947368420,0.7570621468926550,0.5542825968357880,0.7225806451612900,0.6037940379403790,0.5954301075268820
MDWE,Fold-0,0.6144927536231880,0.8246153846153840,0.7338935574229690,0.8782051282051280,0.7338935574229690,0.8782051282051280,0.7840909090909090,0.8782051282051280,0.631578947368421,0.8782051282051280
,Fold-1,0.7285714285714280,0.7285714285714280,0.4062500000000000,0.8080808080808080,0.5622119815668200,0.6833333333333330,0.4062500000000000,0.6833333333333330,0.5622119815668200,0.6833333333333330
,Fold-2,0.6761363636363640,0.8869047619047620,0.6761363636363640,0.9360269360269360,0.5681818181818180,1,0.5043478260869560,0.8869047619047620,0.5043478260869560,0.7285714285714280
,Fold-3,0.5210084033613450,0.7738095238095240,0.5210084033613450,0.9360269360269360,0.5210084033613450,0.9360269360269360,0.5681818181818180,0.8080808080808080,0.4602272727272730,0.7816091954022990
,Fold-4,0.8080808080808080,0.8080808080808080,0.8080808080808080,0.8782051282051280,0.7816091954022990,0.9360269360269360,0.7816091954022990,0.9360269360269360,0.8642857142857140,0.7816091954022990
Pair,Fold-0,0.6699875466998760,0.4837662337662340,0.6535947712418300,0.6768292682926830,0.6418918918918920,0.6942307692307690,0.5947686116700200,0.6439767129422300,0.5669934640522880,0.5775902484763240
,Fold-1,0.6886016451233840,0.6558441558441560,0.7834967320261440,0.6769807782466010,0.6580645161290320,0.7644444444444440,0.7476190476190480,0.7948387096774190,0.5775902484763240,0.7451923076923080
