,fold,decision_tree_missed_x,svm_missed_x,group,decision_tree_missed_y,svm_missed_y,decision_tree_missed_x,svm_missed_x,decision_tree_missed_y,svm_missed_y,decision_tree_missed,svm_missed
0,Fold-0,0.117647058824,0.0,games.csv,0.0,0.0,0.35294117647100004,0.0588235294118,0.41176470588200004,0.117647058824,0.470588235294,0.7647058823530001
1,Fold-1,0.0,0.0588235294118,games.csv,0.0,0.0588235294118,0.0,0.0588235294118,0.529411764706,0.470588235294,0.588235294118,0.8235294117649999
2,Fold-2,0.0,0.0,games.csv,0.0,0.0,0.0,0.235294117647,0.705882352941,0.41176470588200004,0.529411764706,0.705882352941
3,Fold-3,0.0,0.0,games.csv,0.0,0.0,0.0,0.176470588235,0.0,0.235294117647,0.41176470588200004,0.705882352941
4,Fold-4,0.0,0.0,games.csv,0.0,0.125,0.0,0.125,0.4375,0.375,0.4375,0.75
5,Fold-0,0.5,0.0,mdwe.csv,0.5,0.0,0.0,0.33333333333299997,0.0,0.33333333333299997,0.0,1.0
6,Fold-1,0.5,0.166666666667,mdwe.csv,0.33333333333299997,0.166666666667,0.833333333333,0.833333333333,0.33333333333299997,0.666666666667,0.666666666667,1.0
7,Fold-2,0.0,0.0,mdwe.csv,0.33333333333299997,0.0,0.33333333333299997,0.666666666667,0.33333333333299997,0.666666666667,0.666666666667,1.0
8,Fold-3,0.166666666667,0.166666666667,mdwe.csv,0.33333333333299997,0.166666666667,0.33333333333299997,0.666666666667,0.33333333333299997,0.5,0.33333333333299997,1.0
9,Fold-4,0.33333333333299997,0.0,mdwe.csv,0.5,0.166666666667,0.33333333333299997,0.666666666667,0.33333333333299997,0.5,0.5,1.0
10,Fold-0,0.0,0.0,pair.csv,0.0,0.0,0.266666666667,0.0,0.4,0.06666666666669999,0.4,0.2
11,Fold-1,0.0,0.06666666666669999,pair.csv,0.0,0.06666666666669999,0.33333333333299997,0.2,0.46666666666699996,0.133333333333,0.33333333333299997,0.266666666667
12,Fold-2,0.0,0.0,pair.csv,0.0,0.0,0.4,0.0,0.533333333333,0.0,0.2,0.0
13,Fold-3,0.0,0.0,pair.csv,0.0,0.0,0.6,0.133333333333,0.33333333333299997,0.06666666666669999,0.33333333333299997,0.133333333333
14,Fold-4,0.0,0.0,pair.csv,0.0,0.0,0.428571428571,0.0,0.428571428571,0.0,0.5,0.0
15,Fold-0,0.5,0.166666666667,testing.csv,0.166666666667,0.166666666667,0.166666666667,0.33333333333299997,0.166666666667,0.33333333333299997,0.166666666667,0.166666666667
16,Fold-1,0.5,0.0,testing.csv,0.0,0.0,0.0,0.33333333333299997,0.0,0.166666666667,0.0,0.33333333333299997
17,Fold-2,0.33333333333299997,0.0,testing.csv,0.166666666667,0.0,0.166666666667,0.5,0.166666666667,0.166666666667,0.166666666667,0.5
18,Fold-3,0.5,0.0,testing.csv,0.0,0.0,0.0,0.166666666667,0.0,0.166666666667,0.0,0.166666666667
19,Fold-4,0.833333333333,0.166666666667,testing.csv,0.33333333333299997,0.833333333333,0.33333333333299997,0.833333333333,0.33333333333299997,0.833333333333,0.33333333333299997,1.0
20,Fold-0,0.111111111111,0.111111111111,illiterate.csv,0.222222222222,0.222222222222,0.33333333333299997,1.0,0.33333333333299997,0.666666666667,0.33333333333299997,0.777777777778
21,Fold-1,0.25,0.125,illiterate.csv,0.25,0.0,0.25,1.0,0.25,0.625,0.25,0.75
22,Fold-2,0.25,0.0,illiterate.csv,0.5,0.25,0.375,0.75,0.375,0.5,0.5,0.625
23,Fold-3,0.0,0.0,illiterate.csv,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
24,Fold-4,0.125,0.0,illiterate.csv,0.125,0.0,0.0,0.375,0.0,0.25,0.125,0.375
25,Fold-0,0.5,0.4,ontologies.csv,0.5,0.3,0.5,0.4,0.5,0.5,0.5,0.4
26,Fold-1,0.3,0.3,ontologies.csv,0.3,0.2,0.3,0.7,0.3,0.9,0.3,0.8
27,Fold-2,0.0,0.0,ontologies.csv,0.0,0.111111111111,0.0,0.0,0.0,0.444444444444,0.0,0.111111111111
28,Fold-3,0.0,0.0,ontologies.csv,0.0,0.111111111111,0.0,0.0,0.0,0.111111111111,0.0,0.111111111111
29,Fold-4,0.0,0.0,ontologies.csv,0.111111111111,0.0,0.0,0.0,0.0,0.33333333333299997,0.111111111111,0.0
30,Fold-0,0.0,0.0,slr.csv,0.0,0.0,0.0,1.0,0.0,0.8,0.0,1.0
31,Fold-1,0.0,0.2,slr.csv,0.0,0.2,0.0,0.8,0.0,0.8,0.0,1.0
32,Fold-2,0.0,0.2,slr.csv,0.0,0.4,0.0,0.6,0.0,0.4,0.0,0.8
33,Fold-3,0.0,0.25,slr.csv,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0
34,Fold-4,0.0,0.0,slr.csv,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5
35,Fold-0,0.0,0.0,xbi.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
36,Fold-1,0.0,0.0,xbi.csv,0.125,0.0,0.125,0.0,0.125,0.0,0.125,0.375
37,Fold-2,0.125,0.0,xbi.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.125,0.25
38,Fold-3,0.25,0.25,xbi.csv,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.375
39,Fold-4,0.0,0.0,xbi.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
