,fold,Tree K50,SVM K50,Tree K100,SVM K100,Tree K300,SVM K300,Tree K1000,SVM K1000,Tree K3000,SVM K3000
Games,Fold-0,0.7887931034482760,0.8107287449392710,0.7407407407407410,0.8516042780748660,0.6666666666666670,0.9166666666666670,0.7407407407407410,0.847926267281106,0.6018518518518520,0.75
,Fold-1,0.79,0.9342672413793100,0.7666666666666670,0.9,0.7403017241379310,0.8857758620689660,0.7403017241379310,0.9259259259259260,0.6711229946524060,0.75
,Fold-2,0.5948275862068970,0.7537878787878790,0.6285425101214580,0.7914438502673800,0.6405529953917050,0.7752403846153850,0.6285425101214580,0.7960829493087560,0.6666666666666670,0.75
,Fold-3,0.61,0.7166666666666670,0.7261904761904760,0.7960829493087560,0.6481481481481480,0.8109243697478990,0.655,0.7887931034482760,0.61,0.6805555555555560
,Fold-4,0.6017316017316020,0.6465053763440860,0.5844155844155840,0.7787878787878790,0.5844155844155840,0.7997159090909090,0.567391304347826,0.7261904761904760,0.6288888888888890,0.6553571428571430
MDWE,Fold-0,0.6222222222222220,0.8154761904761900,0.7727272727272730,0.8782051282051280,0.7727272727272730,0.8782051282051280,0.8,0.8782051282051280,0.7307692307692310,0.8782051282051280
,Fold-1,0.775,0.775,0.34210526315789500,0.8285714285714280,0.8611111111111110,0.8823529411764710,0.34210526315789500,0.8823529411764710,0.8611111111111110,0.8823529411764710
,Fold-2,0.6944444444444440,0.875,0.6944444444444440,0.9642857142857140,0.5888888888888890,1,0.5166666666666670,0.875,0.5166666666666670,0.775
,Fold-3,0.5568181818181820,0.7670454545454550,0.5568181818181820,0.9642857142857140,0.5568181818181820,0.9642857142857140,0.5888888888888890,0.8285714285714280,0.4833333333333330,0.90625
,Fold-4,0.8285714285714280,0.8285714285714280,0.8285714285714280,0.8782051282051280,0.90625,0.9642857142857140,0.90625,0.9642857142857140,0.9333333333333330,0.90625
Pair,Fold-0,0.6642857142857140,0.5015527950310560,0.6486068111455110,0.731060606060606,0.6380718954248370,0.722943722943723,0.5939393939393940,0.6474358974358970,0.56656346749226,0.5863821138211380
,Fold-1,0.6854838709677420,0.7484472049689440,0.771671826625387,0.6941056910569110,0.6554054054054060,0.8186046511627910,0.7388392857142860,0.7896959459459460,0.5863821138211380,0.7803030303030300
,Fold-2,0.6896284829721360,0.6661490683229810,0.8140350877192980,0.8802325581395350,0.6941056910569110,0.8186046511627910,0.7449324324324320,0.8325396825396820,0.8605263157894740,0.7246732026143790
,Fold-3,0.6280701754385960,0.7803030303030300,0.6474358974358970,0.8486111111111110,0.7246732026143790,0.8648989898989900,0.6994047619047620,0.8221153846153850,0.7063492063492060,0.6813725490196080
,Fold-4,0.6196172248803830,0.931818181818182,0.5598669623059870,0.8396825396825400,0.6666666666666670,0.6746031746031750,0.6215277777777780,0.76875,0.6090225563909780,0.7118055555555560
Test,Fold-0,0.7341269841269840,0.9642857142857140,0.7341269841269840,0.8526119402985080,0.7341269841269840,0.9710144927536230,0.7060931899641580,0.9710144927536230,0.7341269841269840,0.9779411764705880
,Fold-1,0.7060931899641580,0.6696969696969700,0.7060931899641580,0.9642857142857140,0.7060931899641580,0.9642857142857140,0.7060931899641580,0.9710144927536230,0.7060931899641580,0.8039215686274510
,Fold-2,0.8045634920634920,0.9779411764705880,0.7697132616487460,0.9779411764705880,0.7697132616487460,0.8526119402985080,0.7697132616487460,0.8039215686274510,0.7697132616487460,0.8039215686274510
,Fold-3,0.7341269841269840,0.9642857142857140,0.7341269841269840,0.8526119402985080,0.7341269841269840,0.8526119402985080,0.7341269841269840,0.9710144927536230,0.7341269841269840,0.9710144927536230
,Fold-4,0.6254098360655740,0.9710144927536230,0.6254098360655740,0.9642857142857140,0.6254098360655740,0.9642857142857140,0.6254098360655740,0.9642857142857140,0.6254098360655740,0.9642857142857140
Illiterate,Fold-0,0.8409090909090910,0.4134615384615380,0.8409090909090910,0.7984496124031010,0.7642857142857140,0.4134615384615380,0.8409090909090910,0.4134615384615380,0.7435897435897440,0.4134615384615380
,Fold-1,0.7477272727272730,0.9574468085106380,0.7477272727272730,0.775609756097561,0.7477272727272730,0.8565217391304350,0.7477272727272730,0.7708333333333330,0.7477272727272730,0.8565217391304350
,Fold-2,0.7776162790697670,0.9387755102040820,0.6347826086956520,0.9673913043478260,0.6347826086956520,0.9387755102040820,0.6153846153846150,0.9387755102040820,0.6153846153846150,0.9387755102040820
,Fold-3,0.7560728744939270,0.9258720930232560,0.7560728744939270,0.876984126984127,0.7560728744939270,0.9886363636363640,0.6911764705882350,0.9886363636363640,0.7560728744939270,0.9886363636363640
,Fold-4,0.7857142857142860,0.9673913043478260,0.7666666666666670,0.876984126984127,0.7857142857142860,0.9673913043478260,0.6904761904761900,0.9673913043478260,0.6904761904761900,0.8833333333333330
Ontologies,Fold-0,0.6491596638655460,0.7078947368421050,0.6491596638655460,0.8680851063829790,0.6632379248658320,0.7270114942528740,0.6165710186513630,0.7123655913978500,0.6165710186513630,0.7123655913978500
,Fold-1,0.7230989956958390,0.8680851063829790,0.7230989956958390,0.6574468085106380,0.7230989956958390,0.75,0.7230989956958390,0.8299689440993790,0.7230989956958390,0.7123655913978500
,Fold-2,0.7142857142857140,0.7083333333333330,0.7142857142857140,0.9635416666666670,0.6672463768115940,0.8578892371995820,0.6672463768115940,0.9635416666666670,0.6672463768115940,0.8430851063829790
,Fold-3,0.725,0.894927536231884,0.725,0.9784946236559140,0.7368421052631580,0.877652933832709,0.7045454545454550,0.9836956521739130,0.7368421052631580,0.9784946236559140
,Fold-4,0.6097560975609760,0.911904761904762,0.6133996212121210,0.9835164835164840,0.6258706467661690,0.7605691056910570,0.6258706467661690,0.8274509803921570,0.6258706467661690,0.8578224101479920
SLR,Fold-0,0.9166666666666670,0.875,0.3125,0.9166666666666670,0.3125,1,0.3125,0.9166666666666670,0.3125,0.9166666666666670
,Fold-1,0.9166666666666670,0.7142857142857140,0.3125,1,0.3125,0.875,0.3125,0.875,0.3125,0.875
,Fold-2,0.9166666666666670,0.8571428571428570,0.3125,0.8571428571428570,0.3125,0.8571428571428570,0.3125,0.9166666666666670,0.3125,0.8571428571428570
,Fold-3,0.9,0.875,0.2857142857142860,1,0.2857142857142860,1,0.2857142857142860,1,0.2857142857142860,0.875
,Fold-4,0.9,1,0.3333333333333330,1,0.3333333333333330,1,0.3333333333333330,0.9,0.3333333333333330,0.9
XBI,Fold-0,0.8391304347826090,0.8782505910165480,0.8391304347826090,0.8607843137254900,0.8391304347826090,0.8607843137254900,0.8391304347826090,0.8607843137254900,0.8391304347826090,0.8607843137254900
,Fold-1,0.8391304347826090,0.8541666666666670,0.8391304347826090,0.8866666666666670,0.8391304347826090,0.8866666666666670,0.8391304347826090,0.8866666666666670,0.8391304347826090,0.8607843137254900
,Fold-2,0.7573260073260070,0.8115942028985510,0.7573260073260070,0.8860544217687080,0.7378048780487800,0.8860544217687080,0.7378048780487800,0.8860544217687080,0.7573260073260070,0.8860544217687080
,Fold-3,0.8537234042553190,0.8780193236714980,0.8537234042553190,0.8860544217687080,0.8537234042553190,0.8860544217687080,0.8537234042553190,0.8860544217687080,0.8537234042553190,0.8860544217687080
,Fold-4,0.8181818181818180,0.85,0.8181818181818180,0.9375,0.7692307692307690,1,0.7692307692307690,1,0.75,0.9895833333333330
