,fold,decision_tree_missed_baseline_x,svm_missed_baseline_x,group,decision_tree_missed_baseline_y,svm_missed_baseline_y,decision_tree_missed_baseline_x,svm_missed_baseline_x,decision_tree_missed_baseline_y,svm_missed_baseline_y,decision_tree_missed_baseline,svm_missed_baseline
0,Fold-0,0.45,0.4,games.csv,0.45,0.15,0.45,0.25,0.45,0.15,0.45,0.15
1,Fold-1,0.6956521739130435,0.2608695652173913,games.csv,0.6956521739130435,0.3043478260869565,0.39130434782608703,0.2608695652173913,0.6956521739130435,0.2608695652173913,0.6956521739130435,0.3478260869565217
2,Fold-2,0.0,0.26666666666666666,games.csv,1.0,0.26666666666666666,0.6,0.26666666666666666,0.0,0.3333333333333333,0.0,0.3333333333333333
3,Fold-0,0.1,0.4,mdwe.csv,0.2,0.3,0.4,0.2,0.3,0.2,0.3,0.2
4,Fold-1,0.375,0.125,mdwe.csv,0.375,0.125,0.625,0.125,0.625,0.125,0.625,0.125
5,Fold-2,0.2857142857142857,0.2857142857142857,mdwe.csv,0.2857142857142857,0.2857142857142857,0.2857142857142857,0.0,0.2857142857142857,0.5714285714285714,0.2857142857142857,0.2857142857142857
6,Fold-0,0.3,0.4,pair.csv,0.1,0.2,0.3,0.1,0.3,0.1,0.1,0.3
7,Fold-1,0.3333333333333333,0.2222222222222222,pair.csv,0.5555555555555556,0.1111111111111111,0.3888888888888889,0.05555555555555555,0.3333333333333333,0.05555555555555555,0.3333333333333333,0.05555555555555555
8,Fold-2,0.5333333333333333,0.4666666666666667,pair.csv,0.5333333333333333,0.3333333333333333,0.4666666666666667,0.26666666666666666,0.6,0.06666666666666668,0.6,0.0
9,Fold-0,0.25,0.25,testing.csv,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
10,Fold-1,1.0,0.5,testing.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Fold-2,0.3333333333333333,0.0,testing.csv,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0
12,Fold-0,0.0,0.4,illiterate.csv,0.0,0.4,0.0,0.0,0.0,0.2,0.0,0.0
13,Fold-1,0.3333333333333333,0.2222222222222222,illiterate.csv,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.0,0.3333333333333333,0.0
14,Fold-2,0.0,0.0,illiterate.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Fold-0,0.2,0.0,ontologies.csv,0.2,0.0,0.2,0.0,0.2,0.0,0.2,0.0
16,Fold-1,0.0,1.0,ontologies.csv,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.2857142857142857,0.0
17,Fold-2,0.3333333333333333,0.3333333333333333,ontologies.csv,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
18,Fold-0,0.0,0.2,slr.csv,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.2
19,Fold-1,0.0,0.14285714285714285,slr.csv,0.0,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
20,Fold-2,0.0,0.0,slr.csv,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0
21,Fold-0,0.0,0.0,xbi.csv,0.0,0.0,0.0,0.125,0.0,0.125,0.0,0.0
22,Fold-1,0.0,0.0,xbi.csv,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Fold-2,0.25,0.25,xbi.csv,0.25,0.25,0.25,0.125,0.25,0.125,0.25,0.0
