,fold,decision_tree_precision_x,svm_precision_x,group,decision_tree_precision_y,svm_precision_y,decision_tree_precision_x,svm_precision_x,decision_tree_precision_y,svm_precision_y,decision_tree_precision,svm_precision
0,Fold-0,0.5840053763440861,0.7831010452961673,games.csv,0.5840053763440861,0.8606442577030813,0.5985054347826086,0.8252923976608187,0.57,0.8606442577030813,0.57,0.8821428571428571
1,Fold-1,0.6075757575757575,0.8846153846153846,games.csv,0.6075757575757575,0.8359728506787328,0.7386877828054299,0.7945652173913043,0.6075757575757575,0.7945652173913043,0.6075757575757575,0.7435064935064934
2,Fold-2,0.1875,0.9059829059829059,games.csv,0.3125,0.8400000000000001,0.7922077922077921,0.8159340659340659,0.1875,0.8159340659340659,0.1875,0.8400000000000001
3,Fold-0,0.9166666666666669,0.8571428571428572,mdwe.csv,0.7564102564102564,0.875,0.8174603174603174,0.9411764705882352,0.6136363636363636,0.8947368421052632,0.6136363636363636,0.9411764705882352
4,Fold-1,0.875,0.95,mdwe.csv,0.5902777777777778,0.9090909090909092,0.8214285714285714,0.95,0.8214285714285714,0.95,0.8214285714285714,0.8819444444444444
5,Fold-2,0.7291666666666667,0.90625,mdwe.csv,0.7291666666666667,0.8823529411764706,0.7291666666666667,0.8421052631578947,0.7291666666666667,0.8421052631578947,0.7291666666666667,0.9333333333333332
6,Fold-0,0.7617647058823529,0.7976190476190477,pair.csv,0.7147058823529412,0.9473684210526316,0.7244318181818181,0.9473684210526316,0.7244318181818181,0.9205882352941176,0.7829670329670331,0.925
7,Fold-1,0.65625,0.8917710196779964,pair.csv,0.6070889894419307,0.93125,0.6948790896159318,0.9634146341463414,0.7166666666666667,0.95906432748538,0.7,0.95906432748538
8,Fold-2,0.6083333333333334,0.7836257309941521,pair.csv,0.5565134099616859,0.7892857142857144,0.6572916666666666,0.8642533936651584,0.5114942528735632,0.9213709677419356,0.4429347826086957,0.96875
9,Fold-0,0.6713709677419355,0.9861111111111112,testing.csv,0.8333333333333333,0.9861111111111112,0.8333333333333333,1.0,0.8333333333333333,1.0,0.8333333333333333,1.0
10,Fold-1,0.472972972972973,0.6538461538461539,testing.csv,0.625,0.6538461538461539,0.625,1.0,0.625,1.0,0.625,1.0
11,Fold-2,0.5256211180124224,1.0,testing.csv,0.5256211180124224,1.0,0.5256211180124224,1.0,0.5256211180124224,1.0,0.5256211180124224,1.0
12,Fold-0,0.8571428571428572,0.967741935483871,illiterate.csv,0.8571428571428572,0.967741935483871,0.8571428571428572,1.0,0.8571428571428572,0.9833333333333334,0.8571428571428572,1.0
13,Fold-1,0.731060606060606,0.975,illiterate.csv,0.731060606060606,0.9871794871794872,0.731060606060606,0.9871794871794872,0.731060606060606,1.0,0.731060606060606,1.0
14,Fold-2,0.9,1.0,illiterate.csv,0.9,1.0,0.9,1.0,0.9,1.0,0.9,1.0
15,Fold-0,0.6772727272727272,1.0,ontologies.csv,0.6772727272727272,0.9166666666666669,0.6772727272727272,0.9166666666666669,0.7004830917874396,0.9166666666666669,0.7291666666666667,0.9166666666666669
16,Fold-1,0.7333333333333334,0.8991228070175439,ontologies.csv,0.71875,0.9196428571428572,0.71875,0.8888888888888888,0.75,0.9375,0.6887254901960784,1.0
17,Fold-2,0.5496794871794872,0.69,ontologies.csv,0.5888888888888889,0.875,0.6002415458937198,1.0,0.6002415458937198,1.0,0.6002415458937198,0.9905660377358492
18,Fold-0,0.3125,0.875,slr.csv,0.3125,0.875,0.3125,0.875,0.3125,0.9166666666666669,0.3125,1.0
19,Fold-1,0.3181818181818182,0.8888888888888888,slr.csv,0.3181818181818182,0.7083333333333333,0.3181818181818182,0.7083333333333333,0.3181818181818182,0.8888888888888888,0.3181818181818182,0.9375
20,Fold-2,0.25,0.25,slr.csv,0.25,0.7857142857142857,0.25,0.25,0.25,0.25,0.25,0.25
21,Fold-0,0.9444444444444444,0.9223484848484848,xbi.csv,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444,0.9444444444444444
22,Fold-1,0.7142857142857143,1.0,xbi.csv,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.7142857142857143,0.9285714285714286,0.7142857142857143,1.0
23,Fold-2,0.7267441860465116,0.8115942028985508,xbi.csv,0.7267441860465116,0.75,0.7267441860465116,0.8780193236714976,0.7267441860465116,0.8388888888888888,0.7267441860465116,0.9
